id,"type","title","img","preparation","Calories","Fat","Saturated Fat","Cholesterol","Sodium","Carbs","Fiber","Sugar","Protein","tags","created_at","updated_at"
7,"Breakfast","VEGGIE EGG WHITE OMELETTE","images/Cjkfqk2mDbywGgbBhQEag4nwgQZiLbmueRCUvIoj.png","<ul>
	<li>Heat a medium-sized pan and spray with cooking spray over medium-high heat</li>
	<li>Add spinach and bell peppers, saute for 3 minutes</li>
	<li>Pour egg whites into pan on top of the sauteed veggies, sprinkle goat cheese and cook until firm for an additional 4 minutes</li>
	<li>Flip and fold omelette, side onto a place and enjoy with your favorite hot sauce</li>
</ul>","170","1 g","","0 mg","125 mg","1 g","2 g","0 g","17 g","VEGGIE EGG WHITE OMELETTE","0000-00-00 00:00:00","0000-00-00 00:00:00"
8,"Breakfast","GRILLED AVO & EGGS","images/warmGjNrzXpvYxd8TQD8kOAHl7gcpFj8DwW4viO7.png","<ul>
	<li>Slice open avocado, remove the seed and peel skin off.</li>
	<li>Cut avocado into thick slices</li>
	<li>Heat pan on high with some olive oil and add sliced avocado to pan</li>
	<li>Cook for 3-4 minutes on each side until golden and crispy and remove from pan</li>
	<li>In same pan use some cooking spray and crack your eggs into hot pan, sprinkle sea salt and pepper and fry your eggs until crispy on one side</li>
	<li>Assemble your grilled avocado and then fried eggs with some chopped chives</li>
</ul>","350","30 g","","0 mg","8 mg","3 g","8 g","0 g","13 g","GRILLED AVO EGGS","0000-00-00 00:00:00","0000-00-00 00:00:00"
9,"Breakfast","PROTEIN BERRY OVERNIGHT OATS","images/vJxS1liXcy04q54vEem4epDDAeDLKTMshiCVZ2ic.png","<ul>
	<li>Whisk together all ingredients in a medium sized bowl. Spoon mixture in a sealed container.</li>
	<li>Refrigerate for at least 4 hours ( best overnight) and enjoy with some fresh berries on top.</li>
</ul>","225","6 g","","0 mg","0 mg","19 g","14 g","2 g","19 g","PROTEIN BERRY OATS","0000-00-00 00:00:00","0000-00-00 00:00:00"
10,"Breakfast","VINCE’S FAVORITE BAKED EGGS","images/1txl1JFdbdLs3jHZF4X6UBNxkTeHDoGfGZIMshFc.png","<ul>
	<li>Preheat Oven to 400 degrees F</li>
	<li>Chop turkey bacon into small pieces</li>
	<li>In a pan over medium heat add 1 teaspoon of coconut oil and add your chopped bacon to pan. Cook bacon 2-3 minutes on each side until crispy. Remove bacon from pan and set aside.</li>
	<li>In the same pan, add your spiralized zucchini or sweet potato and cook for 4 minutes over medium heat</li>
	<li>In 2 ramekins ( or small oven safe dishes) Layer your zucchini or sweet potato on the bottom of dish, then chopped bacon and crack an egg on top. Sprinkle with some salt and pepper on top.</li>
	<li>Bake for 15-20 minutes until eggs are cooked to your liking</li>
</ul>","273","16 g","","15 mg","237 mg","14 g","0 g","4 g","26 g","BAKED EGGS","0000-00-00 00:00:00","0000-00-00 00:00:00"
11,"Breakfast","BLUEBERRY PROTEIN PANCAKES","images/EK3AATaGJNFwUCmNShF6PLd0B5vljO2vyWGPS8Pb.png","<ul>
	<li>In a blender place raw, uncooked oatmeal and blend until it resembles a fine flour.</li>
	<li>Add eggs, banana, protein powder, and baking powder and pulse blend until smooth.</li>
	<li>Add blueberries into the batter and mix using a spoon.</li>
	<li>Place a skillet on medium-high heat and measure out about 1/8 cup or 2 tbsp of batter per pancake.</li>
	<li>Cover the pancakes while they cook to help the inside cook faster. Cook them for about 1-2 minutes over medium heat on the first side, and then flip and cook 1 minute on the other side.</li>
	<li>Serve with some sugar free syrup</li>
</ul>","180","1.5 g","","7 mg","22 mg","22 g","15 g","0 g","37 g","BLUEBERRY PROTEIN PANCAKES","0000-00-00 00:00:00","0000-00-00 00:00:00"
12,"Breakfast","ALMOND CACAO OVERNIGHT OATS","images/lIjq8uIARAfyvMfSnUV4nLKssjHSFmd4pYvyYPOi.png","<ul>
	<li>Whisk together all ingredients in a medium sized bowl except for shredded coconut. Spoon mixture in a sealed container.</li>
	<li>Refrigerate for at least 4 hours ( best overnight) and enjoy with some unsweetened coconut on top before serving.</li>
</ul>","265","5 g","","0 mg","8 mg","14 g","12 g","2 g","28 g","ALMOND CACAO OATS","0000-00-00 00:00:00","0000-00-00 00:00:00"
13,"Breakfast","MORNING POWER PROTEIN SHAKE","images/To1iAR2JwLENV8hOJeCoOkhT8fOP1i1aQ4FkeQ9d.png","<ul>
	<li>Add all ingredients into blender and blend until completely smooth for 2 minutes.</li>
</ul>","420","8 g","","0 mg","7 mg","6 g","8 g","0 g","36 g","MORNING POWER PROTEIN SHAKE","0000-00-00 00:00:00","0000-00-00 00:00:00"
14,"Breakfast","EASY BANANA PROTEIN PANCAKES","images/CJlJHnFJ3FWeXjzryckG6Nr63LKePj2hZedFUqtV.png","<ul>
	<li>In a medium bowl, mash the banana and crack the eggs in it, stirring until the mixture is combined.</li>
	<li>Heat a greased griddle using 1 teaspoon of coconut oil( or cooking spray) or frying pan on medium heat and pour about a 2.5-inch wide puddle of batter.</li>
	<li>Carefully flip the pancake after about 25 seconds or when it browns.</li>
	<li>The recipe makes 3-4 small pancakes. Serve with some sugar free syrup</li>
</ul>","180","5 g","","0 mg","13 mg","13 g","2 g","9 g","14 g","BANANA PROTEIN PANCAKES","0000-00-00 00:00:00","0000-00-00 00:00:00"
15,"Breakfast","AVOCADO TOAST W/ FRIED EGG","images/418LdBNZ31de0iFY6MyXNEeiIoMQGxbxAnFPCNQf.png","<ul>
	<li>Toast one piece of whole grain bread.</li>
	<li>Heat a small pan with cooking spray over medium-high heat.</li>
	<li>Crack egg into pan, sprinkle with sea salt and pepper and cook until your it is to your liking. About 2 minutes. Turn off heat and flip egg.</li>
	<li>Mash your avocado and spread on toast. Top with fried egg and drizzle hot sauce on top.</li>
</ul>","250","11 g","","111 mg","5 mg","10 g","4 g","0 g","12 g","AVOCADO TOAST FRIED EGG","0000-00-00 00:00:00","0000-00-00 00:00:00"
16,"Breakfast","QUICK MORNING SCRAMBLE","images/J5TnIE3DaLwF9cWsBqWFq6MSSnMS1HKUl2A1QzRU.png","<ul>
	<li>In a bowl crack your eggs and add some sea salt and pepper and set aside.</li>
	<li>Thinly slice mushrooms and chop tomatoes into bite size pieces.</li>
	<li>Heat a medium pan and coat with some cooking spray over medium-high heat.</li>
	<li>Add in tomatoes, mushrooms and your greens ( kale or spinach)</li>
	<li>Saute for 3 minutes and then pour your eggs over veggies</li>
	<li>With a spatula slowly begin folding eggs and veggies together, allow eggs to cook thoroughly until no longer runny.</li>
	<li>Add cheese on top and enjoy!</li>
</ul>","155","12 g","","216 mg","11 mg","0 g","4 g","0 g","19 g","EGG MORNING SCRAMBLE","0000-00-00 00:00:00","0000-00-00 00:00:00"
