id,meal_id,"ingredient","created_at","updated_at"
1,7,"4 egg whites","2018-10-10 20:02:44","2018-10-10 20:02:44"
2,7,"1 cup fresh organic spinach","2018-10-10 20:05:04","2018-10-10 20:05:04"
3,7,"½ red bell pepper, chopped","2018-10-10 20:05:11","2018-10-10 20:05:11"
4,7,"1 tablespoon goat cheese","2018-10-10 20:05:18","2018-10-10 20:05:18"
5,7,"Cooking spray","2018-10-10 20:05:24","2018-10-10 20:05:24"
6,8,"1 Avocado","2018-10-10 20:06:22","2018-10-10 20:06:22"
7,8,"2 eggs","2018-10-10 20:06:29","2018-10-10 20:06:29"
8,8,"Sprinkle of sea salt","2018-10-10 20:06:33","2018-10-10 20:06:33"
9,8,"Handful of chopped fresh chives","2018-10-10 20:06:36","2018-10-10 20:06:36"
10,8,"1TBS olive oil","2018-10-10 20:06:41","2018-10-10 20:06:41"
11,9,"⅓ cup greek yogurt or coconut yogurt ( for vegans)","2018-10-10 20:07:14","2018-10-10 20:07:14"
12,9,"½ cup rolled oats","2018-10-10 20:07:21","2018-10-10 20:07:21"
13,9,"⅔ cup unsweetened almond milk","2018-10-10 20:07:37","2018-10-10 20:07:37"
14,9,"1 teaspoon chia seed","2018-10-10 20:07:44","2018-10-10 20:07:44"
15,9,"1 teaspoon flax seed","2018-10-10 20:07:49","2018-10-10 20:07:49"
16,9,"1 teaspoon maple syrup or stevia","2018-10-10 20:07:56","2018-10-10 20:07:56"
17,10,"1 medium sweet potato, spiralized ( can also substitute for spiralized zucchini)","2018-10-10 20:08:25","2018-10-10 20:08:25"
18,10,"2 eggs","2018-10-10 20:08:30","2018-10-10 20:08:30"
19,10,"2 pieces of turkey bacon","2018-10-10 20:08:35","2018-10-10 20:08:35"
20,10,"1 teaspoon coconut oil","2018-10-10 20:08:40","2018-10-10 20:08:40"
21,11,"3 egg whites","2018-10-10 20:09:22","2018-10-10 20:09:22"
22,11,"½ cup uncooked oatmeal","2018-10-10 20:09:28","2018-10-10 20:09:28"
23,11,"½ banana","2018-10-10 20:09:33","2018-10-10 20:09:33"
24,11,"1 scoop protein powder of choice","2018-10-10 20:09:38","2018-10-10 20:09:38"
25,11,"½ cup blueberries","2018-10-10 20:09:42","2018-10-10 20:09:42"
26,11,"2 teaspoons baking powder","2018-10-10 20:09:48","2018-10-10 20:09:48"
27,12,"⅓ cup greek yogurt or coconut yogurt ( for vegans)","2018-10-10 20:10:14","2018-10-10 20:10:14"
28,12,"½ cup rolled oats","2018-10-10 20:10:20","2018-10-10 20:10:20"
29,12,"⅔ cup unsweetened almond milk","2018-10-10 20:10:25","2018-10-10 20:10:25"
30,12,"1 teaspoon chia seed","2018-10-10 20:10:30","2018-10-10 20:10:30"
31,12,"1 teaspoon flax seed","2018-10-10 20:10:35","2018-10-10 20:10:35"
32,12,"1 teaspoon maple syrup or stevia","2018-10-10 20:10:40","2018-10-10 20:10:40"
33,12,"1 tablespoon almond butter","2018-10-10 20:10:45","2018-10-10 20:10:45"
34,12,"1 tablespoon raw cacao powder","2018-10-10 20:10:49","2018-10-10 20:10:49"
35,12,"1 tablespoon unsweetened shredded coconut","2018-10-10 20:10:56","2018-10-10 20:10:56"
36,13,"1 serving of pea-based protein powder, chocolate or vanilla flavor","2018-10-10 20:13:56","2018-10-10 20:13:56"
37,13,"1 tablespoon almond or peanut butter","2018-10-10 20:14:01","2018-10-10 20:14:01"
38,13,"1/2 cup spinach","2018-10-10 20:14:06","2018-10-10 20:14:06"
39,13,"1 teaspoon flax seed","2018-10-10 20:14:11","2018-10-10 20:14:11"
40,13,"½ avocado","2018-10-10 20:14:15","2018-10-10 20:14:15"
41,13,"⅓ cup frozen berries of choice","2018-10-10 20:14:20","2018-10-10 20:14:20"
42,13,"1 cup almond milk","2018-10-10 20:14:24","2018-10-10 20:14:24"
43,13,"4-6 ice cubes","2018-10-10 20:14:30","2018-10-10 20:14:30"
44,14,"1 small banana","2018-10-10 20:15:50","2018-10-10 20:15:50"
45,14,"1 teaspoon cinnamon","2018-10-10 20:15:59","2018-10-10 20:15:59"
46,14,"½ cup egg whites or 2 whole eggs","2018-10-10 20:16:04","2018-10-10 20:16:04"
47,14,"3 tablespoons sugar free syrup","2018-10-10 20:16:10","2018-10-10 20:16:10"
48,14,"1 teaspoon coconut oil","2018-10-10 20:16:16","2018-10-10 20:16:16"
49,15,"1 piece of whole grain bread","2018-10-10 20:16:34","2018-10-10 20:16:34"
50,15,"1 egg","2018-10-10 20:16:38","2018-10-10 20:16:38"
51,15,"1/2 avocado, mashed","2018-10-10 20:16:44","2018-10-10 20:16:44"
52,15,"Dash of hot sauce","2018-10-10 20:16:50","2018-10-10 20:16:50"
53,15,"Cooking spray","2018-10-10 20:16:55","2018-10-10 20:16:55"
54,16,"2 eggs","2018-10-10 20:17:14","2018-10-10 20:17:14"
55,16,"2 teaspoon cheese of choice","2018-10-10 20:17:19","2018-10-10 20:17:19"
56,16,"1 cup of greens ( kale or spinach)","2018-10-10 20:17:24","2018-10-10 20:17:24"
57,16,"1 small tomato, chopped","2018-10-10 20:17:29","2018-10-10 20:17:29"
58,16,"3 mushrooms, chopped","2018-10-10 20:17:34","2018-10-10 20:17:34"
